Generation,Rep,MeanRSC,MeanMates,cor,MeanCount,MeanMale,MeanFemale,RSC_Mates_Diff,RSC_Mates_Ratio
26.0,2.0,1.0976530415429595,1.125,0.9159017929390196,4.063276163798442,3.749187730148437,4.50278372393278,-0.027346958457040493,1.0249140278594766
27.0,2.0,1.0731306748927336,1.08,0.942349912008628,3.8745103988709015,3.4432602340842027,4.014660412910734,-0.006869325107266455,1.0064012009608738
28.0,2.0,1.070082841085015,1.17,0.9540158215585752,3.727174028354791,3.4144841669477173,3.818116068042612,-0.09991715891498498,1.093373293243048
29.0,2.0,1.0646802081470763,1.015,0.918227451413006,3.686713934418464,3.367525747169848,4.17684507198123,0.04968020814707641,0.9533379058172428
30.0,2.0,1.0501538976658469,0.96,0.9265097587457526,3.63813544818977,3.3784044957394848,4.268183284895612,0.09015389766584692,0.9141517277932025
31.0,2.0,1.0713466382137795,1.075,0.8888468431743212,3.9737691626482254,3.843549830232864,4.508475071819674,-0.0036533617862204437,1.003410065104896
32.0,2.0,1.0508980513640622,0.94,0.935411762190289,3.5733825913512582,3.443103882498288,4.105235990858258,0.11089805136406228,0.8944730640425901
33.0,2.0,1.0661753199447226,1.07,0.9322683496467477,3.509594156593119,3.283066805853322,3.6401621895290543,-0.003824680055277474,1.0035872899923024
34.0,2.0,1.0714272052400775,1.155,0.9469262075963708,3.4903967545544194,3.3362314268014432,3.487599985438828,-0.08357279475992252,1.078001374569536
35.0,2.0,1.073454221460198,1.065,0.9575546759632344,3.2014372373289417,3.138487129409161,3.509727566456854,0.008454221460198141,0.9921242831867594
36.0,2.0,1.065543934528563,1.04,0.9400436551287026,3.780678575957109,3.295347728654466,3.6075450073426047,0.025543934528563073,0.9760273286714689
37.0,2.0,1.0491547416259062,1.1,0.9191317435085128,3.6812840536404936,3.452238509804756,3.715404785260099,-0.05084525837409393,1.0484630687512289
